channel_id,all_comment_count,eng_comment_count
UC-0unh5x9WSd6aj0OGxrgaA,44,3
UC-3sBKh8YYbG2KyVHnSyA1A,32,20
UC-9b7aDP6ZN0coj9-xFnrtw,25,24
UC-AlofdKECUdhXrbJQZ6iEg,84,38
UC-B0ARaD-Y0p95aAqbbawQQ,32,26
UC-CBQChrXvLzYc9oxpMfFPg,25,6
UC-CSyyi47VX1lD9zyeABW3w,27,18
UC-D4LfKD1LYd_GoqwL7dd6Q,31,22
UC-EnprmCZ3OXyAoG7vjVNCA,34,27
UC-FUM0zTj88J7bKIT6PidmA,15,12
UC-KTRBl9_6AX10-Y7IKwKdw,33,23
UC-OkQ5JhnX5wCAgYJRxi6bw,11,4
UC-QTh5HFiw28MwFrmFrRjzA,85,72
UC-SkUab6CMjeSzlO6JN5yng,11,4
UC-UGUUaSrcXxNftujxaErdg,21,15
UC-V0JMkSlpUyQ1DxWn_Pi4g,34,7
UC-VNOmCXKmsss7zpvS3RbOQ,34,29
UC-WMwOzgFdvvGVLB1EZ-n-w,23,18
UC-he8--TRguZ-nNUSiH77Uw,33,22
UC-iEDvQSU9q6G5MR4Prp_Tw,34,17
UC-iLj0O7941O6BXMcaZsA_w,33,28
UC-kIIbllnhNe7rlqNYMtVoA,23,17
UC-nPM1_kSZf91ZGkcgy_95Q,30,24
UC-p_YEaF3-cLUAmYuUOpgqA,1,1
UC-ptWR16ITQyYOglXyQmpzw,8,8
UC-tLyAaPbRZiYrOJxAGB7dQ,33,31
UC-uNVV92llYIMC5-ZUF0Q4w,37,28
UC-z5oN_BPJs4Bi9sCH75rqw,6,4
UC00ifCvU8YOOzbL3RdiSTDw,38,23
UC00v5l55jh7OQqcHXrCHQDw,37,7
UC02rAIf5RYrww6AWhoI5S0w,57,50
UC05DLAXA9jl1bxaoopjs83w,28,24
UC07-dOwgza1IguKA86jqxNA,20,16
UC0A86RKLCqTEUna3hPlEpzg,33,9
UC0BGhWsIbV7Dm-lsvhdlMbA,25,19
UC0BletW9phE4xHFM44q4qKA,36,21
UC0Cyf-sOPE0AGY41I6andkQ,25,19
UC0DsQklZE7kyWTx98QPapwA,30,27
UC0GbKJaeEN9k5CG1NLbN6Ow,30,27
UC0GmLw5MOFYkcyYJlqaH2bg,34,9
UC0JO-FDmcF2lFP1l-rsmBWg,2,2
UC0MPfq68TQjStJt5-xklLeA,23,20
UC0NM4tKT5s9szqnK3jp6dEw,3,2
UC0NfgQvgO8X7llW1GOhQKWw,96,70
UC0POxtMZgb3VLI4gd03bDYQ,10,2
UC0PRIrhVeQ7MvPn8r_Zr4kQ,86,57
UC0QHWhjbe5fGJEPz3sVb6nw,164,151
UC0Rp4wkphkKwnL2qJB8XnKw,26,19
UC0StMWrlJkpiXE2PrytcoHw,34,31
UC0Um8gFJciY_3gtlVD0-d1w,31,14
UC0VOyT2OCBKdQhF3BAbZ-1g,28,18
UC0WP5P-ufpRfjbNrmOWwLBQ,57,31
UC0YbFiLN8fcvtWC5Jtt1Vzw,55,34
UC0YdQLeS-QMU68nvIIWOFCA,26,18
UC0aSHiQNMy8IMmS7_8WbtdA,28,23
UC0cd_-e49hZpWLH3UIwoWRA,30,25
UC0dx1Fa4nt3FRWWG5IcdOEQ,30,29
UC0iiLOT3Jnefq_5Ohk2fJhg,80,35
UC0k238zFx-Z8xFH0sxCrPJg,27,23
UC0kejkXg2LG-pFqAeWD_zLQ,30,17
UC0n5zrwFJhFmUtjf21k08cg,35,34
UC0p5jTq6Xx_DosDFxVXnWaQ,100,94
UC0xAWNc3HiioXYmbpEx1pIA,66,58
UC10qbUzr5SqQPMKxNxpGv1Q,22,18
UC12zxxedZWx_-E1wrhBHy_A,148,90
UC14PsVSS3tpfEaTa-t9Vsrw,35,22
UC14UlmYlSNiQCBe9Eookf_A,31,10
UC16niRr50-MSBwiO3YDb3RA,672,587
UC176GAQozKKjhz62H8u9vQQ,159,147
UC18fv3yDege-nPN5zO48eHg,32,15
UC1Ax24VdEPbE5p5__EfAX-A,29,26
UC1Bbtdbpfert8leeKx2mssw,20,14
UC1Cp5caGwHvJZxHoevGoDdA,43,23
UC1D26ByrbZVwuMgjVWmsOuw,24,16
UC1D3yD4wlPMico0dss264XA,26,20
UC1IQIspOkCeV3WnYm32SBFQ,21,18
UC1Mh6LN5m80lvSdcXi0OM1Q,31,21
UC1NlvNg7p6m1kFuudR2UZ0w,34,19
UC1PutYRxIS9eHuX9ymNI51A,29,15
UC1RMpjsUQcBuel6-GIeV9Cw,127,39
UC1S3EiYLDrrVc3Ev9rdUE6A,32,23
UC1T-ZwcYVQB6EpqOQD10tmw,33,0
UC1Yf7IBfhSNFTIyb7v83o_g,31,26
UC1_wTS4HNPMqpLe3m7h79ag,31,23
UC1gT25MvrRgUm9jQmVeDp5A,29,4
UC1hvx0aUibwayB4JFE0b05A,20,16
UC1jhV8buk475760JtbyrnCQ,33,20
UC1oPBUWifc0QOOY8DEKhLuQ,62,3
UC1pfMSQ2GwZxl7Xn2PupxyA,32,14
UC1qi29JIh37TEbl5Bn-m_zw,57,38
UC1rcsQHdpWyEsKWMe4l_m6A,23,15
UC1sELGmy5jp5fQUugmuYlXQ,31,15
UC1tk9F5-MGXEq4LWnjmrtpA,3,0
UC1uZYgOfncA-Gnk0GsLVK5A,27,2
UC1xNraQytCPsaoO5N7_YABw,32,28
UC1xvRxqTWRyuZyVO1QZKI2Q,31,20
UC1yNl2E66ZzKApQdRuTQ4tw,371,349
UC2-6nSxJ50MLhWm9QvOohMw,27,22
UC21I6tEyHTeSblJn8WBo0Jw,29,19
UC257b6MFXKs7JrxZGHOPH1w,34,7
UC27Q3ls_w78LPo5Juo8p3Aw,36,15
UC284Za0seKV8WGZJO4gltFg,4,3
UC29ThLVR45Xgio76683lpHg,3,1
UC2BDs0pu-C1A4POY0g9rZxw,55,29
UC2C_jShtL725hvbm1arSV9w,30,19
UC2D2CMWXMOVWx7giW1n3LIg,58,51
UC2H_sYOZkk9vBFPzx1fmWBw,28,5
UC2IzfN6qRP4ld2H6BKB1uKg,34,18
UC2J-0g_nxlwcD9JBK1eTleQ,33,31
UC2KfmYEM4KCuA1ZurravgYw,93,68
UC2MHTOXktfTK26aDKyQs3cQ,34,25
UC2MQQlBUxljQ_j81cx_o1LQ,41,20
UC2OPPQoFSorD_tB_tlCwpEQ,38,31
UC2SqHs9JwrwjuV6HLD3W9sQ,3,2
UC2UXDak6o7rBm23k3Vv5dww,22,19
UC2WuPTt0k8yDJpfenggOAVQ,22,9
UC2Zs9v2hL2qZZ7vsAENsg4w,4,4
UC2a6HBSxlWXKXjPVoKLxc2g,6,5
UC2aG3ddqJs7GU-Fq0ETgSLg,28,3
UC2cL3pI1H3tiozKif6A8fmA,34,29
UC2dxiip2L5FipdwX2i93MKw,30,2
UC2gzGsZhfo_BmCI4fsETH7w,127,36
UC2iUwfYi_1FCGGqhOUNx-iA,35,31
UC2ih0UcIYcDxU1-gB68W1PA,65,47
UC2jOcQnwJDw5D25dMFrIUJQ,31,28
UC2prVaTYvPljklrty7GBZ1g,32,10
UC2qKQjnZI_tnG7XemGBOHxQ,43,33
UC2sLtDxcntvFq2ARAVoprLg,55,28
UC2vhx3TcmtbKhJmgvQNdPHg,14,10
UC2wTnMBvQ_TH0qn5rJl8hWQ,25,17
UC2xBh2nwvOwBqnA1tEbPCZw,68,49
UC2xj044cgBpoXOnfQZhO5Yg,58,8
UC2yq41wib1MOacBef2crlbw,35,31
UC2zuipdDU9Dp5FFPtZ-y3rQ,36,24
UC3-8wdy7KcSa5KloEm0vp9A,33,4
UC305byCobfeNGA4XEZQmnLQ,21,1
UC362wXiUbL4_okVgEPdHqmQ,35,22
UC3DFdy_qc-cqgKCyQTHLGzA,61,43
UC3ITEPB1plAEtHf5Cm8nQLA,43,29
UC3IZKseVpdzPSBaWxBxundA,31,12
UC3K_V0FgEq_6SuA6X54z3GQ,37,30
UC3N5y6UWKJaKqoU2b_0MfTQ,23,14
UC3NJVkGUkPwvWwWpQG-67Ag,33,15
UC3OOIib8F59y4qzSjKiZZ3A,23,4
UC3Rkc5AnVil_2qt6IwEEXaw,36,0
UC3SM8yOKKwU8PYqwsNP5rGA,35,33
UC3VWbWk8qDBiF0741izgpQg,64,60
UC3XTzVzaHQEd30rQbuvCtTQ,36,34
UC3c8H4Tlnm5M6pXsVMGnmNg,23,22
UC3ifTl5zKiCAhHIBQYcaTeg,31,8
UC3iwxKMRg5l2aDG_8XK2nSQ,37,18
UC3plrhJApuJ_uapz_AMf7tw,33,28
UC3qp2FCeaQ5HhA3jHWHbrxg,34,28
UC3rrzHpFzshYjIMk8YFc52w,35,21
UC3xZYc4SZUGfRERIvDRGqDQ,28,25
UC3yrASSnYnr1rPvTUmU-Qzg,55,15
UC415bOPUcGSamy543abLmRA,134,116
UC42pOSNg804f1wCcj7qL0mA,177,151
UC46vj6mN-6kZm5RYWWqebsg,62,56
UC4BzfoDeAwqdNckkp0htOuQ,91,66
UC4C6jpQu4eChkMwaWuaQvSA,8,8
UC4CAxaO75mfkPr3GRiSGE_w,37,22
UC4CepjymvDjsas2g05GxtPw,23,11
UC4DLvb5xZ9OLcVM1KC_R97g,29,3
UC4ELmvRt24gNmbeS3EqDkNg,7,2
UC4JX40jDee_tINbkjycV4Sg,58,50
UC4KyTCx8kpTwoyqbRoOFnVA,34,4
UC4NtCXEWUj3mu-4n7TUxA2w,35,10
UC4QZ_LsYcvcq7qOsOhpAX4A,31,28
UC4SVo0Ue36XCfOyb5Lh1viQ,64,37
UC4UWbQ23IbWwU-XG7XIWxvQ,28,20
UC4XJeGGdXj0vA4CxDDJ8J_A,28,10
UC4XrBtU7fwDmR15GML18KcQ,36,24
UC4a-Gbdw7vOaccHmFo40b9g,18,16
UC4eegkSVzV56kTrSpvL6BKQ,27,23
UC4gD0czpXVv_LpADTSU624g,56,54
UC4hwR9831LIKr9wKQOO_ZYA,33,7
UC4ijq8Cg-8zQKx8OH12dUSw,33,31
UC4kronjAGs7kTc9vH3BWK2Q,65,28
UC4lnpEse_SnqheLmcbbumig,55,52
UC4lp9Emg1ci8eo2eDkB-Tag,131,95
UC4qGmRZ7aLOLfVsSdj5Se2A,66,41
UC4rZpoEdeFLF4x9walsyoSw,24,11
UC4rlAVgAK0SGk-yTfe48Qpw,73,55
UC4sEmXUuWIFlxRIFBRV6VXQ,28,24
UC4uJlNGyJgcuBXeFpo2Wxew,24,12
UC4ukq--KwuB31q3VyNs_BdA,36,33
UC4vT3qTr8fwVS7IsPgqaGCQ,34,16
UC4wOd-OGys-RKbv9FYFGRvA,96,85
UC4xHcg7a7hMoHgXerjRKiyA,30,16
UC4zNtKX3XTplYQWNFPorvXQ,32,18
UC505hkZmukH32DjoqkPA8UQ,57,49
UC515BDgBYXCc22q6lMENU-g,22,14
UC52kszkc08-acFOuogFl5jw,65,54
UC55HiTglyGMk1B33Lx9X7CQ,7,7
UC55hzEBczDivH31zVueh8Gg,35,1
UC56dNUTok1pgvpY75CsJQ4Q,64,7
UC59K-uG2A5ogwIrHw4bmlEg,152,122
UC5CugyvTdOloiuTc9nN09TA,33,28
UC5EcQrgvXsgGLR4ukxBTM8w,22,21
UC5FNGaz7gMK1GaqHeQ_INYQ,14,6
UC5FZ8PMYt4h4MHtDjgiTklA,33,21
UC5H9MzrMkJ5iuN11vV2PLhA,72,22
UC5IuDMmKWSsBFB0iKky6aEQ,28,28
UC5LgwusHqV8Ibl18sRaGTgg,29,26
UC5NsCSD7fuNzczbEliIIa0w,22,2
UC5QciHe35MiA_adJZUI-TCA,237,196
UC5Qj4RxFiIBYSH-1jKVjNqQ,34,31
UC5QvDEFmd-KLWz6p6CSDehA,9,5
UC5Sl4VbJELXi9SCaWbTdXfA,3,3
UC5T7D-Dh1eDGtsAFCuwv_Sw,1,0
UC5WjFrtBdufl6CZojX3D8dQ,56,41
UC5Wz4fFacYuON6IKbhSa7Zw,35,35
UC5Y1pPVNm-odhiubuRO1D6A,30,7
UC5Z010wx1Yy_sQA6wNji93w,29,20
UC5apxzE3aEOpvP0XkeuW8mw,28,5
UC5asLXjw7vevJAKe0f4qtlA,4,2
UC5c7sXwWNvA-KQ_b7OxdsMg,21,13
UC5cs06DgLFeyLIF_II7lWCQ,34,1
UC5f5IV0Bf79YLp_p9nfInRA,35,18
UC5hXaKEUulRpdBoivsmCSTw,27,12
UC5nw8exLddNg1nBm8stemdg,25,9
UC5oMpJJ5poXbBgABWwnuW5w,45,34
UC5p10kZrTNj5kHaRfSCNOQA,37,31
UC5rP-wFWe80lXN0unKDoulg,7,6
UC5zS0_6TYr17qTnvw_9vang,21,6
UC6-EmBtXmXOMPF-vWr9YaJA,33,32
UC61tzH0mtu0nuZIQikxT9FQ,30,6
UC63FOuee249Jpg1O075KFwQ,32,27
UC63mNFJR8EAb8wAIJwoCmTA,61,23
UC64ssaQO8MZiLOYqUHFxIEQ,5,3
UC6A_LC-A5NVJ2vw9A0OjCug,26,18
UC6DlKHO4DAHjB6fBqqI11cA,31,19
UC6Fm1WbZBIp-0OXXHWV_PRQ,30,27
UC6H07z6zAwbHRl4Lbl0GSsw,28,19
UC6JhCqFwuSBJfseypJ2HZMw,35,5
UC6LyRXD915GDOFM_5unRfxg,54,32
UC6MQ2p8gZFYdTLEV8cysE6Q,1,1
UC6Mv5oj8daFztwg3jOkQjMA,24,0
UC6PT7R13JtDjTxZZ_dUafKQ,30,10
UC6QZ_ss3i_8qLV_RczPZBkw,128,34
UC6SrBgEY5mUqiadXsz070GQ,34,25
UC6ZCeXD14B7WAJO5nsjGryw,30,28
UC6_K7-Jthgq6hKUu55xC91Q,29,11
UC6d8KgYWSqVuCG7UXMEZt3Q,33,27
UC6n8I1UDTKP1IWjQMg6_TwA,32,31
UC6p0XC87axfwEtXeZEX3qWw,32,16
UC6rlSDvtzpYWgKrYnpjoH5Q,24,10
UC6rrBCCDvrDFcOJHifruL5A,67,55
UC6yzV_xgKn8r77FkcmZyMSg,9,7
UC74O4b7mg9vC6pbRIxTPibQ,8,6
UC762LVwv3LLuEtAvP_-tpfA,136,47
UC78mJyZPMa_OG08KLHjhODw,27,23
UC7BhHN8NyMMru2RUygnDXSg,77,69
UC7DdEm33SyaTDtWYGO2CwdA,32,29
UC7IcJI8PUf5Z3zKxnZvTBog,103,79
UC7JDBUzkcwRGtQGia3_mMgQ,29,27
UC7NXS92qRh43K0RGUTxRIew,31,4
UC7P2WwdpanJBvQmiYyQ-pRg,20,17
UC7WBxkuclmInB50j62iwegA,3,3
UC7_gcs09iThXybpVgjHZ_7g,29,24
UC7bYyWCCCLHDU0ZuNzGNTtg,33,32
UC7c8wbA9yQjzxkj2uyrHrkg,31,11
UC7ekA5squ12MDEy5upvpo7A,31,31
UC7fWeaHhqgM4Ry-RMpM2YYw,24,20
UC7kpCjVmzNj-UlIqwAQqBsw,29,11
UC7ovu6a8ydIbDy0fAKmoZ9A,53,1
UC7qPz_-prgjFyKGcnqJ9aKA,29,24
UC7qwmMOCk-q0KaROR7s7lGg,29,11
UC7r6YicDjoE_CzEM0h3Trww,31,6
UC7rSK4MI1HhnxrnBEozm53w,25,21
UC7rsYYvQbqQrJDGhqWmtAgQ,101,78
UC7szm7Z-YOF_HiFSY7KtYGw,19,6
UC7tWp_Yl6TwflcppyVDK_NA,19,11
UC7wjh3Dqg7JDy5vS82bR6QQ,34,31
UC80QkOQNihd9A8jjy0h5hhw,30,23
UC80Z-cIOdR6upfnrPJ8Q00A,27,21
UC83ou3zkohKwWEL5RluEy2A,34,1
UC84t1K5ri-7u9bFCaUKTXDA,28,13
UC85VW73bQLEjs_taFKP7TwQ,59,46
UC88KSXMWdkv50V1Wm8CAYWg,29,0
UC8B1sNPsg-VSCq6hkZdt9qw,67,44
UC8EP21iEkGNcKOSpOuJw4Dw,27,19
UC8Ld9PAhpOeBbNtLEoNlbUA,7,0
UC8LeXCWOalN8SxlrPcG-PaQ,10,1
UC8NJYzIiErJvwdN_ZG-JBXA,30,25
UC8R3qX--mc_Let6HZHGpnPQ,30,13
UC8T81Q-rEobLa-YuQKj8L1A,22,13
UC8ThsX-gyKKuuN9qo1PJ0-Q,30,25
UC8VhAX-voAUegprM4SpHQJQ,30,27
UC8X6rEFU-vJ1BE-d3NKJfLQ,23,7
UC8Y-jrV8oR3s2Ix4viDkZtA,2,1
UC8YgWcDKi1rLbQ1OtrOHeDw,29,21
UC8aFYW6sAdJT0sJg0GPhzGg,33,24
UC8bTQzxgvKkXDAaWkeuUlkg,26,22
UC8butISFwT-Wl7EV0hUK0BQ,564,462
UC8dRuwQLtfdfARmg77ZKq7w,25,1
UC8idW5eCOVi6Maau2efdKPQ,32,28
UC8jkbVLPvztz8TuE98OYo8Q,24,23
UC8lKgUHo-2mSR5cRRXO9xow,2,0
UC8lSbddTjlDrF0lHEeGM8rg,30,9
UC8lVvurdhqV2-cTizQjh4wQ,87,11
UC8mWYDxedkJmUReAiA3ze9w,48,36
UC8n-7kb2RGV7TidMWzHl7EQ,26,13
UC8p1vwvWtl6T73JiExfWs1g,19,17
UC8voJ9Sjb9tdf2jVByTKlFQ,64,56
UC8zQiuT0m1TELequJ5sp5zw,26,0
UC95bEkaIgwhxSjSsdMFXYGg,98,52
UC97qxGRmPsyfV0Miz7AxU2A,9,5
UC98tcedR6gULv8_b70WJKyw,25,20
UC99hZHMdxBDcjO-yYT1fDgg,13,10
UC9A9-hJ21nrQXNoCzCH7Gag,33,26
UC9Af1bn_bc6_Lwrr4SM6Qkg,34,22
UC9BAayugOCs1MRYUa5s9nkA,3,0
UC9ET3GTgAhGC0jGf5yTXQTg,95,77
UC9EYldgBLKw3EqnSk95Q37w,10,1
UC9EgazNjxm-_3eydGQR45rQ,30,9
UC9K44RtwiROAwCpALm1wdyQ,25,20
UC9L_ZcFAtqA3o3cwo56ejMA,32,6
UC9MAhLcXqWZo2CKlFjLpDEA,38,26
UC9MAhZQQd9egwWCxrwSIsJQ,27,25
UC9MU35bTvG9t06yf70hcGqQ,52,47
UC9OqJwkkvJTQoHUKi1y8LoQ,27,22
UC9PVYlrwFSlqG7w8TDsqRvQ,22,0
UC9RM-iSvTu1uPJb8X5yp3EQ,29,28
UC9SVhrnsGxWwiBRWT9c7Ozw,36,35
UC9Tib0IsWBst6tlQ-p3L4Pw,26,24
UC9cpGw2hVv-6G-76HO22jQg,72,11
UC9dyrsYEmD4iGJ8Oz1G5dpw,39,11
UC9eaNdd1t64xLogaRVmGrow,3,0
UC9fJ0Ic5ki8XL8p2KUs4hmA,12,1
UC9guUZ_cJNtNTCsReHlIg1A,9,1
UC9hHiwe_gqxdHG3X1UGJEEA,28,14
UC9jbx97WHiM7aPA_A3Sl6hQ,34,30
UC9jqaqnrukj-VlYEHLF_S0w,36,26
UC9pzK5rFu0roGKcLNOBQ2bw,39,29
UC9r9HYFxEQOBXSopFS61ZWg,26,20
UC9rEXaObaNCOYU-bpElHntQ,18,2
UC9x0AN7BWHpCDHSm9NiJFJQ,125,113
UC9xghV-TcBwGvK-aEMhpt5w,22,22
UC9zX2xZIJ4cnwRsgBpHGvMg,30,15
UCA19mAJURyYHbJzhfpqhpCA,37,31
UCA1pil7GfHhJugZAhrDtTVQ,25,14
UCA5Kea1lxIUjcenLBujJt_Q,3,2
UCA5pIrTB-nK98lkFrTdRyfQ,31,15
UCA5scr9hNC7nMmDhdU8hkXA,34,18
UCABeEbafXvyp4Q2N_OOYi6g,39,4
UCACU6FM4RgOgX0IHB7dudFA,118,52
UCAF6O8b0QajgcNfT4kcPyNQ,30,24
UCAI5QLNSOSzOQTYCyNA06EQ,31,14
UCAL3JXZSzSm8AlZyD3nQdBA,44,31
UCAM2fyCjEdROyELretVTiiw,33,14
UCANLZYMidaCbLQFWXBC95Jg,57,30
UCAQOf_uPOJ6rXO_k9RwfK3A,36,25
UCAQg09FkoobmLquNNoO4ulg,28,23
UCASGyre6VNuPsF5f9f9nm8g,32,23
UCASNJRaxmqOljWhyagDdgOA,15,10
UCATNzbTbfeoMhNonZGZmrhA,25,22
UCAWn8LWOOorLB3OOwj6JwmQ,37,27
UCAYo8etw9D_IXLGgnr45Cfw,39,11
UCAZsAvNyldyiJWTuUFQnkfQ,35,28
UCAcgY29Ow-ggJSldNTTBdZA,27,24
UCAidhU356a0ej2MtFEylvBA,30,17
UCAmhbG40GSFEJEa-6Yj8zAQ,7,4
UCAr0yk0um7lwLjmrKfzwyig,42,40
UCAsZ8cqlGMeAig2Oud2ETRw,23,6
UCAuUUnT6oDeKwE6v1NGQxug,165,141
UCAynUBIkB7gX10An54eEt4A,19,16
UCB2qTDjzBSouovVXXwYKLlQ,30,13
UCB85mqzwxW1ochHxPbTEsjw,26,2
UCBC4egaXY3_2I6KuQy4FEnw,34,26
UCBEhL1MZrm56pZuzKb5s13w,33,23
UCBGOUQHNNtNGcGzVq5rIXjw,29,19
UCBGxe5vTiVWv7e2gP6QB1Mw,29,26
UCBGzm7haKhfUdBBREbGMfIA,36,26
UCBINFWq52ShSgUFEoynfSwg,30,11
UCBJycsmduvYEL83R_U4JriQ,176,155
UCBKvC2TWrSedladWZtezK8A,34,5
UCBM6AwaDl8uPVAN_BUIqPUw,27,8
UCBM_JsVb_65EWAc66WRtuFw,32,28
UCBN_7mH7JV66YN22wyNY8RQ,132,108
UCBOIxRfSIXDT03e116VTzCw,42,35
UCBQjTfMEcxMlI49KCQAHwYQ,27,26
UCBR6D7Rtvw98KYI0DUisT1w,34,9
UCBSE0woFBOMgMLLmlsRn9tQ,29,15
UCBSc0W_R6djZQXZhKpcdlaA,26,22
UCBVY4zJr4qTXdPlMus1VxqA,51,31
UCBWrBsr6oA9JtVaG6wT5XJg,32,17
UCB_qr75-ydFVKSF9Dmo6izg,30,23
UCBbpLKJLhIbDd_wX4ubU_Cw,1,0
UCBcVQr-07MH-p9e2kRTdB3A,27,27
UCBi2mrWuNuyYy4gbM6fU18Q,136,102
UCBj244LMgn9I1JfPNeLMyew,31,28
UCBkNerkJ8362Pat0Fw7T-uA,38,34
UCBr2W3nb0jPSnommNbbpMAw,29,29
UCBt6XQJC3G40OUjb316ENLg,34,20
UCBvZ2hEzZZaWAIrUHVN6YUw,64,19
UCBwmMxybNva6P_5VmxjzwqA,99,66
UCBzJB1kZcFcn65HknBCfCcA,32,18
UCC0-MHKPdq09Mtg5bGjFY7A,27,13
UCC184ncihJzZze2CmfAQGOQ,37,9
UCC1Mi4fVXKETdFGDlW7rC3w,29,27
UCC1RVMyl0nwjWFydWUNTsYw,1,1
UCC2nOsHWoccGP7ZzbuMYV0w,36,30
UCC552Sd-3nyi_tk2BudLUzA,34,32
UCC6gbNO098rkQKCU0ZaLITQ,30,3
UCCB1tNcxtHw7kkCzCUqGteg,31,27
UCCB6sAb8YsTr16-bIxFQUhA,38,16
UCCJsQKOKArvDksacfT2ryQw,24,13
UCCK3OZi788Ok44K97WAhLKQ,36,3
UCCLg0FJsmxdyHf9sHJlnsTA,35,28
UCCMAz1jZ4_IyhthHk23EMJQ,121,86
UCCNFCLWh1AA-qbyOyp8jlZg,35,33
UCCNw1OSmIlqIXrzeLE4e7fw,25,13
UCCODtTcd5M1JavPCOr_Uydg,137,117
UCCOi5b2vqQ0hHQRBZ6yoT3w,26,6
UCCOrp7GPgZA8EGrbOcIAsyQ,68,59
UCCQi3X-PJGmd6DrPN9Rb6iw,27,22
UCCRFU6puznGXVKW3Ad_gKXg,27,12
UCCV5kpsPAE2M0KdrSws5R1g,34,21
UCCVclxslsRWT3LHFu8mQhNA,31,25
UCCXoCcu9Rp7NPbTzIvogpZg,26,24
UCCYg74-k06_SmH69neYxfvA,25,13
UCCZGYab5SpD0I7Z5JqJZgww,61,43
UCCbv0qixG-cyokxEY3kELtg,32,28
UCCcl8RCA9wia6TsKUnc-6sQ,8,8
UCCeCpXN7FaJUFBfhLtQYHdw,29,0
UCCfKlFlKYBxZ-UU2dWc17IQ,23,3
UCCfqyGl3nq_V0bo64CjZh8g,27,24
UCCg7II9RHL8Y-GS9NnFQy8g,48,11
UCCgFcKM61Y6qa4ArTTvVWqg,28,0
UCChJlbkHREctAZqoFyfhDeA,28,0
UCChWvNbRQYQ5fj1Nj3RQu8Q,34,23
UCChmJrVa8kDg05JfCmxpLRw,34,31
UCCj956IF62FbT7Gouszaj9w,372,293
